"Senior Colleague to New Employee: A senior colleague is offering advice to a new employee.","Vă recomand să citiți manualul de proceduri.","Îți recomand să citești manualul de proceduri.","A","Politeness","Workplace","Senior->Junior"
"Client to Service Representative: A client is making a complaint.","Aș dori să raportez o problemă cu comanda mea.","Am o problemă cu comanda mea.","A","Politeness","Services","Client->Representative"
"Service Representative to Client: A representative is asking for the client's name.","Puteți să-mi spuneți numele dumneavoastră?","Spune-mi numele tău.","A","Politeness","Services","Representative->Client"
"Pharmacist to Patient: A pharmacist is explaining how to take the medication.","Vă rog să luați o pastilă la 8 ore.","Ia o pastilă la 8 ore.","A","Politeness","Healthcare","Pharmacist->Patient"
"Patient to Pharmacist: A patient is asking if the medication has side effects.","M-aș întreba dacă are medicamentul efecte adverse.","Are medicamentul efecte adverse?","A","Politeness","Healthcare","Patient->Pharmacist"
"Grandchild to Grandparent: A grandchild is asking for a story.","Bunică, mi-ați putea citi o poveste?","Bunică, poți să-mi citești o poveste?","A","Politeness","Family","Grandchild->Grandparent"
"Parent to Parent: A parent is asking their spouse to help with a task.","Ai putea să pui tu masa diseară?","Ați putea să puneți dumneavoastră masa diseară?","A","Politeness","Family","Parent->Parent"
"Seller to Buyer: A street vendor is trying to sell a product.","V-ar interesa o brățară făcută manual?","Îți place o brățară făcută manual?","A","Politeness","Commerce","Seller->Buyer"
"Buyer to Seller: A buyer is asking for a discount.","Aș putea primi un preț mai bun?","Vreau un preț mai bun.","A","Politeness","Commerce","Buyer->Seller"
"Guest to Guest at a Formal Event: A guest is complimenting another on their outfit.","Îmi permiteți să vă felicit pentru ținută?","Îmi place ținuta ta.","A","Politeness","Formal Event","Guest->Guest"
"Master of Ceremonies to Audience: The host of an event is asking for a round of applause.","Vă rugăm să-i aplaudăm pe invitații noștri!","Aplaudați-i pe invitații noștri!","A","Politeness","Formal Event","MC->Audience"
"Student to Dean: A student is requesting an appointment with the dean.","Aș dori să solicit o audiență, dacă se poate.","Vreau o audiență.","A","Politeness","Education","Student->Dean"
"Colleague to Colleague (Informal): Two colleagues are on good terms and one is asking for a pen.","Îmi poți da stiloul tău?","Îmi puteți da stiloul dumneavoastră?","A","Politeness","Workplace","Colleague->Colleague"
"Journalist to Minister: A journalist is asking a question in a press conference.","Domnule ministru, ați putea clarifica această problemă?","Domnule ministru, poți clarifica această problemă?","A","Politeness","Formal Event","Journalist->Minister"
"Boss to Employee: A boss is giving direct instructions to their employee.","Vă rog să revizuiți acest document până mâine dimineață.","Revizuiește acest document până mâine dimineață.","A","Politeness","Workplace","Boss->Employee"
"Doctor to Nurse: A doctor is requesting assistance from a nurse.","Ajută-mă cu pacientul de la camera 3.","Aș dori să mă ajutați cu pacientul de la camera 3.","B","Politeness","Healthcare","Doctor->Nurse"
"Friend to Friend (Request): One friend is asking another for a ride.","M-ai putea duce tu cu mașina până acasă?","M-ați putea duce dumneavoastră cu mașina până acasă?","A","Politeness","Friends","Friend->Friend"
"Salesperson to Customer: A salesperson is offering a product to a customer.","Aș dori să vă arăt cel mai nou model.","Vreau să-ți arăt cel mai nou model.","A","Politeness","Commerce","Salesperson->Customer"
"Customer to Salesperson: A customer is asking to try on a pair of shoes.","Se poate proba?","Se poate proba?","A","Politeness","Commerce","Customer->Salesperson"
"Neighbor to Neighbor: A person is asking a neighbor they don't know well to lower the volume.","V-aș ruga să dați muzica mai încet.","Dă muzica mai încet.","A","Politeness","Family","Neighbor->Neighbor"
"Teacher to Parent: A teacher is scheduling a meeting with a parent.","Aș vrea să discutăm despre progresul fiului dumneavoastră.","Vreau să discutăm despre progresul fiului tău.","B","Politeness","Education","Teacher->Parent"
"Senior Manager to New Hire: The manager is welcoming a new employee.","Îți urez bun venit în echipa noastră!","Vă urez bun venit în echipa noastră!","B","Politeness","Workplace","Manager->New Hire"
"Patient to Nurse: A patient is asking a nurse for a blanket.","Aș putea să am o pătură, vă rog?","Poți să-mi dai o pătură, te rog?","A","Politeness","Healthcare","Patient->Nurse"
"Team Leader to Team Member: A team leader is giving a specific directive to a team member.","Te rog să te ocupi tu de partea de analiză.","V-aș ruga să vă ocupați de partea de analiză.","A","Politeness","Workplace","Leader->Member"
"Colleague to Colleague (Formal): A new colleague is asking an older colleague for help.","M-ați putea ajuta cu asta?","M-ai putea ajuta cu asta?","A","Politeness","Workplace","New Colleague->Old Colleague"
"Bank Teller to Customer: A teller is asking a customer for their ID.","Ați putea să-mi prezentați un act de identitate?","Prezintă-mi un act de identitate.","A","Politeness","Commerce","Teller->Customer"
"Friend to Friend (Informal request): One friend is asking another for a ride.","Ai putea să mă duci tu acasă?","Ați putea să mă duceți dumneavoastră acasă?","A","Politeness","Friends","Friend->Friend"
